Name,Type,Category,Area,Address,Price (VND),Price band,Best session,Vibe,Good for,Must try (EN),Must try (VI),Why we go (EN),Why we go (VI),Hours & notes (EN),Hours & notes (VI),Link,Last checked,EN reviewed,Indoor / Outdoor,English friendly,Payment,Open days,Photo,Localness (1-5),Value (1-5),Search keywords,Data status
MYAN Coffee & Milktea,☕ Coffee · Cà phê,Garden cafe · Cafe sân vườn,Hai Chau · Hải Châu,K55/15 Nguyễn Chí Thanh; 925/11 Ngô Quyền,25k–30k,₫,☕ Afternoon · Buổi chiều,"Garden · Sân vườn, Retro-modern · Retro hiện đại",Friends · Bạn bè,,,"Garden style, retro-modern. Good for weekends with friends. Sells cakes.","Phong cách sân vườn, retro thiên hướng hiện đại. Phù hợp thư giãn với bạn bè dịp cuối tuần. Có bán bánh.",7:00–22:15,7:00 – 22:15,https://goo.gl/maps/jKawsJSFbFpaTJwD7,,,,,,,,,,MYAN Coffee & Milktea,Draft - verify
7AM Coffee,☕ Coffee · Cà phê,Garden cafe · Cafe sân vườn,Hai Chau · Hải Châu,9 Nguyễn Thiện Thuật,25k–35k,₫,"☀️ Morning · Buổi sáng, ☕ Afternoon · Buổi chiều","Garden · Sân vườn, Study · Học bài","Study · Học bài, Work · Làm việc",,,Garden style with space for studying.,"Phong cách sân vườn, có không gian để học tập.",7:00–22:15,7:00 – 22:15,https://goo.gl/maps/i9CXybY7CZjvzM186,,,,,,,,,,7AM Coffee,Draft - verify
Nối Cafe,☕ Coffee · Cà phê,Local coffee · Cafe truyền thống,Hai Chau · Hải Châu,"113/14, 113/18, 113/25 Nguyễn Chí Thanh",~25k,₫,"☀️ Morning · Buổi sáng, ☕ Afternoon · Buổi chiều","Retro · Bao cấp, Local · Bản địa",Friends · Bạn bè,,,"Retro ""bao cấp"" style - famous among young Da Nang locals.","Quán phong cách bao cấp, quen thuộc và nổi tiếng với giới trẻ Đà Nẵng.",6:30–22:00,6:30 – 22:00,https://g.page/noicafe?share,,,,,,,,,,Noi Cafe,Draft - verify
Tiệm Cà Phê Cậu Út,☕ Coffee · Cà phê,Local coffee · Cafe truyền thống,Hai Chau · Hải Châu,"34 Lê Hồng Phong, Hải Châu; 99 Âu Cơ, Liên Chiểu",~30k,₫,☕ Afternoon · Buổi chiều,"Retro · Bao cấp, Chill · Chill","Friends · Bạn bè, Family · Gia đình, Reading · Đọc sách",,,"Retro style, good for weekend catch-ups. Second floor is chill and good for reading.","Phong cách bao cấp, phù hợp những buổi hẹn cuối tuần với bạn bè và gia đình. Tầng 2 khá chill, phù hợp đọc sách.",7:00–22:00,7:00 – 22:00,https://goo.gl/maps/pVt3oeEdY3gWfPhN8,,,,,,,,,,Tiem Ca Phe Cau Ut,Draft - verify
Cá Chuồn Space,☕ Coffee · Cà phê,View cafe · Cafe view đẹp,Son Tra · Sơn Trà,"Khu du lịch Biển Đông, Sơn Trà",50k–100k,₫₫,"🌇 Sunset · Hoàng hôn, 🌙 Evening · Buổi tối","Sea view · View biển, Sunset · Hoàng hôn","Couple · Cặp đôi, Friends · Bạn bè",,,Free parking and free stroll on the sea; drinks with sea and sunset views. Fresh-water showers and toilets if you swim. Windy in the afternoon - bring a jacket. Best on a moonlit day.,"Khu du lịch cho gửi xe miễn phí, đi dạo trên biển tuỳ thích. Uống nước ngắm biển, ngắm hoàng hôn. Nếu tắm biển có nơi tắm nước ngọt, toilet. Buổi chiều gió khá to nên mang theo áo khoác. Tuyệt nhất là đi vào ngày có trăng.",,,https://maps.app.goo.gl/ewNPqJHuTFG6saBy6,,,,,,,,,,Ca Chuon Space,Draft - verify
Esco Beach,🍻 Nightlife · Bar/Pub,Beach bar · Bar biển,Son Tra · Sơn Trà,Lô 12 Võ Nguyên Giáp,70k–900k,₫₫₫,"🌇 Sunset · Hoàng hôn, 🌙 Evening · Buổi tối","Sea view · View biển, Romantic · Lãng mạn","Couple · Cặp đôi, Friends · Bạn bè",,,Beachfront with Son Tra mountain views - best on a moonlit summer night. Go before 7PM for ~10–20% off.,"Dọc biển, view đỉnh núi Sơn Trà. Ngồi vào đêm có trăng và trời hè là tuyệt nhất. Tỏ tình, tâm sự, cầu hôn thì best of the best. Đi sớm trước 19:00 giảm giá tầm 10 – 20%.",,,https://www.google.com/maps/contrib/102723144515683239966,,,,,,,,,,Esco Beach,Draft - verify
On The Radio Bar,🍻 Nightlife · Bar/Pub,Club / live music · Nhạc sống,Hai Chau · Hải Châu,76 Thái Phiên,,₫₫,🌃 Late Night · Khuya,"Indoor · Không gian đóng, Live music · Nhạc sống, DJ · DJ",Friends · Bạn bè,,,"Indoor space, live music and DJ.","Không gian đóng, nhạc live, DJ.",,,https://g.page/radiodanang?share,,,Indoor · Trong nhà,,,,,,,On The Radio Bar,Draft - verify
New Golden Pine Pub & Club,🍻 Nightlife · Bar/Pub,Club / DJ,Son Tra · Sơn Trà,"325 Trần Hưng Đạo, An Hải Bắc, Sơn Trà",,₫₫,🌃 Late Night · Khuya,"Indoor · Không gian đóng, DJ · DJ",Friends · Bạn bè,,,"Indoor, DJ, young crowd.","Không gian đóng, DJ. Nơi tập trung của các bạn trẻ.",,,https://goo.gl/maps/uQFKwcJDXE7piwrU9,,,Indoor · Trong nhà,,,,,,,New Golden Pine Pub & Club,Draft - verify
OQ Lounge Pub DnD,🍻 Nightlife · Bar/Pub,Club / DJ,Hai Chau · Hải Châu,"18-20 Bạch Đằng, Hải Châu",,₫,🌃 Late Night · Khuya,"Indoor · Không gian đóng, DJ · DJ, Budget · Giá rẻ",Friends · Bạn bè,,,"Indoor, DJ, cheap and suitable for young crowds.","Không gian đóng, DJ. Giá rẻ, phù hợp giới trẻ.",,,https://goo.gl/maps/C8mQtnJQTRYPJ9KV7,,,Indoor · Trong nhà,,,,,,,OQ Lounge Pub DnD,Draft - verify
Bar Libre,🍻 Nightlife · Bar/Pub,Chill bar · Bar chill,Hai Chau · Hải Châu,"125a Nguyễn Chí Thanh, Hải Châu",,₫₫,🌙 Evening · Buổi tối,"Indoor · Không gian đóng, Chill music · Nhạc chill, Quiet · Yên tĩnh","Friends · Bạn bè, Small group · Nhóm nhỏ",,,For beer and conversation without the noise.,"Không gian đóng, mở nhạc chill. Phù hợp muốn đi bar uống bia, trò chuyện mà không ồn ào.",,,https://g.page/barlibredanang?share,,,Indoor · Trong nhà,,,,,,,Bar Libre,Draft - verify
Herbal Spa Da Nang,💆 Wellness · Spa & Massage,Spa & Massage,Son Tra · Sơn Trà,201 Dương Đình Nghệ,,,☕ Afternoon · Buổi chiều,Relax · Thư giãn,"Solo · Đi một mình, Couple · Cặp đôi",,,Spa & massage. (Add your own notes.),Spa & massage. (Bổ sung ghi chú của bạn.),,,https://www.facebook.com/herbalspadanang/,,,,,,,,,,Herbal Spa Da Nang,Draft - verify
Son Tra walk: Guard Station to Vọng Cảnh Hill,🚶 Sights & Walks · Đi dạo,Walk · Đi dạo,Son Tra · Sơn Trà,From the Son Tra Peninsula guard station to Đồi Vọng Cảnh,,,"🌅 Early Morning · Sáng sớm, ☀️ Morning · Buổi sáng","Nature · Thiên nhiên, Views · Ngắm cảnh, Wildlife · Thú rừng","Solo · Đi một mình, Couple · Cặp đôi, Friends · Bạn bè",Coconut at the viewpoint,Trái dừa ở Đồi Vọng Cảnh,"Great walking route: little traffic, sometimes langurs, monkeys and birds, new sim-flower road, views over the city. ~2–3km up to Vọng Cảnh. Go in the morning; the afternoon sun is hot. Scooters are stopped at the station - you need a manual motorbike to go further.","Cung đi bộ rất tuyệt: ít xe lên xuống, đôi khi gặp đàn voọc, khỉ và các loại chim, có con đường sim mới trồng, view nhìn xuống thành phố. Đi bộ lên Đồi Vọng Cảnh tầm 2 – 3km. Nên đi buổi sáng cho mát. Xe tay ga lên đến trạm sẽ bị chặn; phải thuê xe số mới chạy tiếp lên được.",,,https://goo.gl/maps/tAZFKyfau9j63B1LA,,,Outdoor · Ngoài trời,,,,,,,Son Tra walk: Guard Station to Vong Canh Hill,Draft - verify
City walk: Nguyễn Chí Thanh - Lê Lợi loop,🚶 Sights & Walks · Đi dạo,Walk · Đi dạo,Hai Chau · Hải Châu,"Start at 129 Nguyễn Chí Thanh (i3 cafe), walk to Nguyễn Du, return along Lê Lợi",,,☀️ Morning · Buổi sáng,"City life · Nhịp sống phố, Shady · Nhiều bóng mát",Solo · Đi một mình,i3 cafe sữa,Cafe sữa quán i3,Tree-lined loop (~1.5–2km) with sidewalks; watch daily life. Passes Cà phê Long and a bún chả cá place.,"Bắt đầu từ 129 Nguyễn Chí Thanh (quán cafe i3), đi dọc đến Nguyễn Du rồi quẹo trái qua đường Lê Lợi để quay về (tầm 1.5 – 2km). Nhiều cây, mát mẻ, có vỉa hè, quan sát được người dân sinh hoạt.",Best 7–9AM.,Nên đi buổi sáng 7 – 9AM.,,,,Outdoor · Ngoài trời,,,,,,,City walk: Nguyen Chi Thanh - Le Loi loop,Draft - verify
Han River walk (Bạch Đằng),🚶 Sights & Walks · Đi dạo,Walk · Đi dạo,Hai Chau · Hải Châu,Bạch Đằng,,,🌙 Evening · Buổi tối,"Riverside · Ven sông, Lively · Sôi động","Couple · Cặp đôi, Friends · Bạn bè, Family · Gia đình",,,Cool and lively in the evening; a bit empty and sunny in the morning. Park at APEC park.,"Buổi tối mát mẻ, sôi động. Sáng thì hơi vắng và nắng. Có thể gửi xe ở công viên APEC rồi đi bộ.",Best in the evening.,Đẹp nhất buổi tối.,,,,Outdoor · Ngoài trời,,,,,,,Han River walk (Bach Dang),Draft - verify
Nguyễn Văn Trỗi pedestrian bridge,🚶 Sights & Walks · Đi dạo,Walk · Đi dạo,Hai Chau · Hải Châu,Access from Trần Thị Lý bridge foot,,,"🌇 Sunset · Hoàng hôn, 🌙 Evening · Buổi tối","Views · Ngắm cảnh, Local hangout · Tụ tập giới trẻ","Couple · Cặp đôi, Friends · Bạn bè",,,"Wide, breezy and beautiful at sunset; in the evening Gen Z hang out in small groups. Use the Trần Thị Lý side - the other approach is deserted.","Chiều tối lúc hoàng hôn lên đây đi dạo ngắm cảnh, không gian rất rộng, mát, đẹp. Buổi tối giới trẻ ra ngồi ăn uống, hát hò, tụ tập từng nhóm nhỏ. Nên đi từ chân cầu Trần Thị Lý, hướng còn lại vắng vẻ.",,,,,,Outdoor · Ngoài trời,,,,,,,Nguyen Van Troi pedestrian bridge,Draft - verify
Sunset at Wonder Park (Thuận Phước bridge),🚶 Sights & Walks · Đi dạo,Sunset spot · Ngắm hoàng hôn,Hai Chau · Hải Châu,Opposite Da Nang Golden Bay Hotel,,,🌇 Sunset · Hoàng hôn,"Sunset · Hoàng hôn, Relaxed · Thong thả","Couple · Cặp đôi, Friends · Bạn bè",,,Go around 5:30–6PM in summer; sit on the embankment by the Thuận Phước bridge foot. Combine with a bowl at Bánh canh Cô Cúc and a night walk on the Han River.,Đến khi trời vừa xuống núi (tầm 5:30 – 6PM) vào mùa hè. Có bờ kè để ngồi ngắm hoàng hôn bên chân cầu Thuận Phước; gần đó có công viên kỳ quan. Xong làm tô bánh canh cô Cúc rồi đi dạo bờ sông Hàn.,,,https://g.page/wonder-park-danang?share,,,Outdoor · Ngoài trời,,,,,,,Sunset at Wonder Park (Thuan Phuoc bridge),Draft - verify
Sunrise swim at Phạm Văn Đồng beach,🚶 Sights & Walks · Đi dạo,Beach · Đi biển,Son Tra · Sơn Trà,Phạm Văn Đồng beach,Parking 4k + 2k shower / person,₫,🌅 Early Morning · Sáng sớm,"Beach · Biển, Sunrise · Bình minh","Solo · Đi một mình, Couple · Cặp đôi",,,"Ideal in summer - cool water and few people. Park at lot no. 3 (farthest, fewest people). Go 4:30–5:30AM to see sunrise next to Son Tra.","Đi tắm biển mùa hè là lý tưởng nhất vì nước và không khí mát, ít người, sạch hơn buổi chiều. Nên gửi xe ở bãi số 3 (xa nhất) vì ít người — xe máy 4k + tắm 2k/người. Đi trước mặt trời mọc (4:30 – 5:30AM) để ngắm bình minh bên núi Sơn Trà.",,,https://goo.gl/maps/vHKAMjMgkCVrSaxt5,,,Outdoor · Ngoài trời,,,,,,,Sunrise swim at Pham Van Dong beach,Draft - verify
Scenic motorbike loops,🚶 Sights & Walks · Đi dạo,Motorbike ride · Đi dạo xe máy,,"Nguyễn Chí Thanh (one-way, from Lê Duẩn to the end); Phan Châu Trinh (from Nguyễn Văn Linh to the end); Thanh Thủy (from Ông Ích Khiêm to 3/2)",,,"☀️ Morning · Buổi sáng, ☕ Afternoon · Buổi chiều","Shady · Nhiều bóng mát, Tree-lined · Nhiều cây xanh",Solo · Đi một mình,,,"Tree-lined, cool streets for an easy motorbike ride.","Những con đường nhiều cây xanh mát: Nguyễn Chí Thanh (một chiều, từ giao Lê Duẩn đến hết đường), Phan Châu Trinh (từ giao Nguyễn Văn Linh đến hết đường), Thanh Thủy (từ giao Ông Ích Khiêm ra đến 3/2).",,,,,,Outdoor · Ngoài trời,,,,,,,Scenic motorbike loops,Draft - verify
SUP to Hòn Sụp coral,🏄 Outdoor · Ngoài trời,SUP · Chèo SUP,Son Tra · Sơn Trà,Meet at Mân Thái beach gate,280k / SUP,₫₫₫₫,"🌅 Early Morning · Sáng sớm, ☕ Afternoon · Buổi chiều","Sea · Biển, Sunrise · Bình minh","Couple · Cặp đôi, Friends · Bạn bè",,,"Calm summer sea, cool water, Son Tra views; you can paddle out to Hòn Sụp to see coral. ~2 hours; dry bag provided. Book via the SUP Đà Nẵng Facebook page.","Chèo SUP mùa hè: biển êm, nước mát, view đỉnh núi Sơn Trà, có thể chèo ra Hòn Sụp ngắm san hô. Chèo tầm 2 tiếng, có túi chống nước. Nhắn Fanpage SUP Đà Nẵng đặt trước hoặc đến biển Mân Thái thuê.","Morning starts 5:15, afternoon 4:15.","Buổi sáng 5h15, buổi chiều 4h15.",https://www.facebook.com/thuesupdanang/,,,Outdoor · Ngoài trời,,,,,,,SUP to Hon Sup coral,Draft - verify
Ghềnh Bàng hike (Son Tra),🏄 Outdoor · Ngoài trời,Hike · Leo núi,Son Tra · Sơn Trà,"Ghềnh Bàng drink shop, Sơn Trà",10k–30k (parking & drink),₫,☀️ Morning · Buổi sáng,"Jungle · Rừng, Remote · Hoang sơ",Friends · Bạn bè,,,"15–20 min hike through cool forest to a wild, quiet cove. Bring water, a hat and sneakers. Don't tease the monkeys (aggressive); avoid swimming - no lifeguards.","Leo núi khoảng 15 – 20 phút; đường trong rừng khá mát, xuống Ghềnh Bàng rất hoang sơ và đẹp. Mang theo nước, mũ, giày thể thao. Hạn chế trêu khỉ vì khá hung; hạn chế tắm biển vì không có cứu hộ.",,,https://maps.app.goo.gl/HviFT5R8kU6bS7p39,,,Outdoor · Ngoài trời,,,,,,,Ghenh Bang hike (Son Tra),Draft - verify
Hải Vân Quan forest trail,🏄 Outdoor · Ngoài trời,Hike · Leo núi,Lien Chieu · Liên Chiểu,Hải Vân Quan (Hải Vân Pass),,,☀️ Morning · Buổi sáng,"Forest · Rừng, Views · Ngắm cảnh",Group · Nhóm bạn,,,"~30 min walk through the mountain with great views. Forest paths can be dangerous (animals) - go in a group with water, hat and sneakers.","Đi bộ xuyên núi tầm 30 phút, view rất đẹp. Cẩn thận vì đường rừng có thể nguy hiểm (động vật). Nên đi theo nhóm và mang theo nước, mũ, giày thể thao.",,,https://maps.app.goo.gl/ACPWVrfCPL6bnyoCA,,,Outdoor · Ngoài trời,,,,,,,Hai Van Quan forest trail,Draft - verify
Sound Of Silence Coffee Shop,☕ Coffee · Cà phê,View cafe · Cafe view đẹp,Hoi An · Hội An,"40 Nguyễn Phan Vinh, Hội An",50k–100k,₫₫,"☕ Afternoon · Buổi chiều, 🌇 Sunset · Hoàng hôn","Sea view · View biển, Quiet · Yên tĩnh, Garden · Sân vườn","Couple · Cặp đôi, Solo · Đi một mình",,,Our pick if you choose one cafe in Hoi An: beautiful garden and head-on sea view from above. Windy in the afternoon - bring a jacket.,"Nếu chọn 1 quán cafe Hội An thì mình chọn quán này. Vườn đẹp, view biển trực diện từ trên cao. Buổi chiều có thể có gió, nên mang theo áo khoác.",,,https://maps.app.goo.gl/cBDFqon9jb3LWUKZ9,,,,,,,,,,Sound Of Silence Coffee Shop,Draft - verify
Cà phê Hoa Lúa,☕ Coffee · Cà phê,View cafe · Cafe view đẹp,Hoi An · Hội An,"Khối An Mỹ, Hội An Đông",20k–50k,₫,🌇 Sunset · Hoàng hôn,"Rice fields · Cánh đồng lúa, Airy · Thoáng mát","Couple · Cặp đôi, Friends · Bạn bè",,,Airy cafe for sunset and walking through the fields; best in the young-rice and ripe-rice seasons.,"View đẹp, không gian thoáng mát, phù hợp ngắm hoàng hôn và đi dạo trên cánh đồng. Đẹp nhất vào mùa lúa non và lúa chín.",,,https://maps.app.goo.gl/GpR6HVRydNHiHfTg9,,,,,,,,,,Ca phe Hoa Lua,Draft - verify
Cháo nghêu Cô Gió,🍜 Food · Đồ ăn,Other Vietnamese · Món khác,Hoi An · Hội An,"An Bàng beach, Hội An",30k–50k,₫,"☀️ Morning · Buổi sáng, 🍜 Lunch · Buổi trưa, ☕ Afternoon · Buổi chiều","Casual · Bình dân, Busy · Đông khách","Solo · Đi một mình, Couple · Cặp đôi",Clam porridge (or bone porridge),Cháo nghêu (hoặc cháo xương),"Warming bowl before walking Hoi An. Locals think Da Nang clams are better, but it's good, fair and busy. Prefer bone porridge if you don't like farmed clams.","Uống cafe xong ghé làm tô cháo rồi vô Hội An đi dạo. Vì mình là người Đà Nẵng nên thấy nghêu ở đây không ngon bằng nghêu biển Đà Nẵng, nhưng giá hợp lý, quán đông khách. Không thích nghêu nuôi thì nên ăn cháo xương.","Open all day, closes 6PM.",Bán cả ngày (đóng cửa lúc 6PM).,https://maps.app.goo.gl/jtLLRHHd9jrBoBLJ8,,,,,,,,,,Chao ngheu Co Gio,Draft - verify
Ốc hương sả tắc,🍜 Food · Đồ ăn,Seafood · Hải sản,Hoi An · Hội An,"155 Tôn Đức Thắng, Hội An Tây",80k–150k / dish,₫₫,🍽️ Dinner · Bữa tối,"Local · Bản địa, Busy · Đông khách","Group · Nhóm bạn, Friends · Bạn bè",Sweet snails stir-fried with lemongrass and kumquat,Ốc hương xào sả tắc,"Best snail place in Hoi An: fresh, big sweet snails and reasonable prices. Also coconut stir-fried snails, tamarind razor clams, grilled scallops. Go early to avoid waiting.","Quán ốc ngon nhất ở Hội An. Ốc hương xào sả tắc siêu ngon, tươi và to, giá hợp lý. Ngoài ra còn ốc len xào dừa, ốc móng tay xào me, sò điệp nướng mỡ hành... Quán đông khách nên đến sớm.",Open from 4PM.,Chỉ mở buổi tối từ 4PM.,https://maps.app.goo.gl/vFqEZ5S7RCACJAXZ8,,,,,,,,,,Oc huong sa tac,Draft - verify
